"YEAR","FMP_AREA","FMP_GEAR","SPECIES","LENGTH","FREQUENCY","PERFORMANCE","HAUL_JOIN","PORT_JOIN"
1991,"GOA","TRW",330,45,3,1,"346106",NA
1991,"GOA","TRW",330,46,2,1,"346106",NA
1991,"GOA","TRW",330,41,1,1,"346106",NA
1991,"GOA","TRW",330,42,1,1,"346106",NA
1991,"GOA","TRW",330,43,1,1,"346106",NA
1991,"GOA","TRW",330,44,2,1,"346106",NA
1991,"GOA","TRW",330,45,1,1,"346106",NA
1991,"GOA","TRW",330,42,1,1,"346107",NA
1991,"GOA","TRW",330,43,1,1,"346107",NA
1991,"GOA","TRW",330,44,1,1,"346107",NA
1991,"GOA","TRW",330,45,4,1,"346107",NA
1991,"GOA","TRW",330,46,2,1,"346107",NA
1991,"GOA","TRW",330,40,1,1,"346107",NA
1991,"GOA","TRW",330,42,4,1,"346107",NA
1991,"GOA","TRW",330,43,4,1,"346107",NA
1991,"GOA","TRW",330,44,4,1,"346107",NA
1991,"GOA","TRW",330,45,1,1,"346107",NA
1991,"GOA","TRW",330,39,1,1,"346114",NA
1991,"GOA","TRW",330,40,2,1,"346114",NA
1991,"GOA","TRW",330,41,4,1,"346114",NA
1991,"GOA","TRW",330,42,4,1,"346114",NA
1991,"GOA","TRW",330,43,5,1,"346114",NA
1991,"GOA","TRW",330,44,5,1,"346114",NA
1991,"GOA","TRW",330,45,3,1,"346114",NA
1991,"GOA","TRW",330,46,1,1,"346114",NA
1991,"GOA","TRW",330,47,1,1,"346114",NA
1991,"GOA","TRW",330,48,1,1,"346114",NA
1991,"GOA","TRW",330,38,3,1,"346114",NA
1991,"GOA","TRW",330,39,3,1,"346114",NA
1991,"GOA","TRW",330,40,3,1,"346114",NA
1991,"GOA","TRW",330,41,2,1,"346114",NA
1991,"GOA","TRW",330,42,4,1,"346114",NA
1991,"GOA","TRW",330,43,2,1,"346114",NA
1991,"GOA","TRW",330,45,1,1,"346114",NA
1991,"GOA","TRW",330,46,1,1,"346114",NA
1991,"GOA","TRW",330,43,11,1,"346086",NA
1991,"GOA","TRW",330,44,12,1,"346086",NA
1991,"GOA","TRW",330,45,12,1,"346086",NA
1991,"GOA","TRW",330,46,6,1,"346086",NA
1991,"GOA","TRW",330,47,2,1,"346086",NA
1991,"GOA","TRW",330,41,4,1,"346080",NA
1991,"GOA","TRW",330,42,3,1,"346080",NA
1991,"GOA","TRW",330,43,4,1,"346080",NA
1991,"GOA","TRW",330,44,3,1,"346080",NA
1991,"GOA","TRW",330,45,1,1,"346080",NA
1991,"GOA","TRW",330,46,2,1,"346080",NA
1991,"GOA","TRW",330,39,2,4,"346082",NA
1991,"GOA","TRW",330,41,1,4,"346082",NA
1991,"GOA","TRW",330,42,4,4,"346082",NA
1991,"GOA","TRW",330,43,1,4,"346082",NA
1991,"GOA","TRW",330,44,6,4,"346082",NA
1991,"GOA","TRW",330,45,1,4,"346082",NA
1991,"GOA","TRW",330,46,1,4,"346082",NA
1991,"GOA","TRW",330,47,1,4,"346082",NA
1991,"GOA","TRW",330,48,1,4,"346082",NA
1991,"GOA","TRW",330,51,1,4,"346082",NA
1991,"GOA","TRW",330,38,5,4,"346082",NA
1991,"GOA","TRW",330,39,5,4,"346082",NA
1991,"GOA","TRW",330,40,4,4,"346082",NA
1991,"GOA","TRW",330,41,2,4,"346082",NA
1991,"GOA","TRW",330,42,2,4,"346082",NA
1991,"GOA","TRW",330,43,3,4,"346082",NA
1991,"GOA","TRW",330,44,2,4,"346082",NA
1991,"GOA","TRW",330,45,3,4,"346082",NA
1991,"GOA","TRW",330,46,1,4,"346082",NA
1991,"GOA","TRW",330,39,3,1,"346083",NA
1991,"GOA","TRW",330,41,5,1,"346083",NA
1991,"GOA","TRW",330,42,6,1,"346083",NA
1991,"GOA","TRW",330,43,7,1,"346083",NA
1991,"GOA","TRW",330,44,9,1,"346083",NA
1991,"GOA","TRW",330,45,2,1,"346083",NA
1991,"GOA","TRW",330,46,3,1,"346083",NA
1991,"GOA","TRW",330,47,1,1,"346083",NA
1991,"GOA","TRW",330,38,4,1,"346083",NA
1991,"GOA","TRW",330,39,11,1,"346083",NA
1991,"GOA","TRW",330,40,10,1,"346083",NA
1991,"GOA","TRW",330,41,16,1,"346083",NA
